MasterTrader  Version 0.3.7.6
No,Time,Type,Data,Message
40,11:08:36.1632676,Algo,ERROR,Error while parsing plugin data received.,AlgoTranscode: 1840 | System.IndexOutOfRangeException: Index was outside the bounds of the array. |    at QuantX.IModule.Plugin_DataReceived(Int32 PID, Byte[] pkt)
41,11:08:36.5850288,AmiBrokerFeed,Status,Listening to AmiBroker.,
42,11:08:36.7882121,Terminal,Debug,TradeBook sequntial requested.,MaxTID: 799
43,11:08:37.3819210,Terminal,Debug,OrderBook received.,2239,20,3,56948,WIPRO22JUNFUT,0,1,20220614002239,800,0,0,0,45350.00,0.00,7AXU099-NRML,2,20220614095310:000,20220614095310:000,22,220614095309994,FS,WIPRO,2022-06-30 00:00:00,-1.00,XX,100,1,9111,9211,2,AllStrategies,/2247,20,3,56948,WIPRO22JUNFUT,0,1,20220614002247,800,0,0,0,45350.00,0.00,7AXU41080-NRML,2,20220614095310:000,20220614095310:000,22,220614095310400,FS,WIPRO,2022-06-30 00:00:00,-1.00,XX,100,1,9111,9211,2,AllStrategies,/2246,20,3,56948,WIPRO22JUNFUT,0,1,20220614002246,800,0,0,0,45350.00,0.00,7AXU39390-NRML,2,20220614095310:000,20220614095310:000,22,220614095310353,FS,WIPRO,2022-06-30 00:00:00,-1.00,XX,100,1,9111,9211,2,AllStrategies,/2245,20,3,56948,WIPRO22JUNFUT,0,1,20220614002245,800,0,0,0,45350.00,0.00,7AXU39131-NRML,2,20220614095310:000,20220614095310:000,22,220614095310306,FS,WIPRO,2022-06-30 00:00:00,-1.00,XX,100,1,9111,9211,2,AllStrategies,/2244,20,3,56948,WIPRO22JUNFUT,0,1,20220614002244,800,0,0,0,45350.00,0.00,7AXU39229-NRML,2,20220614095310:000,20220614095310:000,22,220614095310259,FS,WIPRO,2022-06-30 00:00:00,-1.00,XX,100,1,9111,9211,2,AllStrategies,/2243,20,3,56948,WIPRO22JUNFUT,0,1,20220614002243,800,0,0,0,45350.00,0.00,7AXU39117-NRML,2,20220614095310:000,20220614095310:000,22,220614095310213,FS,WIPRO,2022-06-30 00:00:00,-1.00,XX,100,1,9111,9211,2,AllStrategies,/2242,20,3,56948,WIPRO22JUNFUT,0,1,20220614002242,800,0,0,0,45350.00,0.00,7AXU39583-NRML,2,20220614095310:000,20220614095310:000,22,220614095310150,FS,WIPRO,2022-06-30 00:00:00,-1.00,XX,100,1,9111,9211,2,AllStrategies,/2241,20,3,56948,WIPRO22JUNFUT,0,1,20220614002241,800,0,0,0,45350.00,0.00,7AXU38835-NRML,2,20220614095310:000,20220614095310:000,22,220614095310088,FS,WIPRO,2022-06-30 00:00:00,-1.00,XX,100,1,9111,9211,2,AllStrategies,/2240,20,3,56948,WIPRO22JUNFUT,0,1,20220614002240,800,0,0,0,45350.00,0.00,7AXU39122-NRML,2,20220614095310:000,20220614095310:000,22,220614095310041,FS,WIPRO,2022-06-30 00:00:00,-1.00,XX,100,1,9111,9211,2,AllStrategies,/2255,20,3,56948,WIPRO22JUNFUT,0,1,20220614002255,800,0,0,0,45350.00,0.00,7AXJ38999-NRML,2,20220614095311:000,20220614095311:000,22,220614095311822,FS,WIPRO,2022-06-30 00:00:00,-1.00,XX,100,1,9111,9211,2,AllStrategies,/2254,20,3,56948,WIPRO22JUNFUT,0,1,20220614002254,800,0,0,0,45350.00,0.00,7AXJ40622-NRML,2,20220614095311:000,20220614095311:000,22,220614095311775,FS,WIPRO,2022-06-30 00:00:00,-1.00,XX,100,1,9111,9211,2,AllStrategies,/2253,20,3,56948,WIPRO22JUNFUT,0,1,20220614002253,800,0,0,0,45350.00,0.00,7AXUJ41644-NRML,2,20220614095311:000,20220614095311:000,22,220614095311728,FS,WIPRO,2022-06-30 00:00:00,-1.00,XX,100,1,9111,9211,2,AllStrategies,/2252,20,3,56948,WIPRO22JUNFUT,0,1,20220614002252,800,0,0,0,45350.00,0.00,7AXJ41087-NRML,2,20220614095311:000,20220614095311:000,22,220614095311681,FS,WIPRO,2022-06-30 00:00:00,-1.00,XX,100,1,9111,9211,2,AllStrategies,/2251,20,3,56948,WIPRO22JUNFUT,0,1,20220614002251,800,0,0,0,45350.00,0.00,7AXU42536-NRML,2,20220614095311:000,20220614095311:000,22,220614095311635,FS,WIPRO,2022-06-30 00:00:00,-1.00,XX,100,1,9111,9211,2,AllStrategies,/2250,20,3,56948,WIPRO22JUNFUT,0,1,20220614002250,800,0,0,0,45350.00,0.00,7AXU39234-NRML,2,20220614095311:000,20220614095311:000,22,220614095311572,FS,WIPRO,2022-06-30 00:00:00,-1.00,XX,100,1,9111,9211,2,AllStrategies,/2249,20,3,56948,WIPRO22JUNFUT,0,1,20220614002249,800,0,0,0,45350.00,0.00,7AXU39507-NRML,2,20220614095311:000,20220614095311:000,22,220614095311510,FS,WIPRO,2022-06-30 00:00:00,-1.00,XX,100,1,9111,9211,2,AllStrategies,/2248,20,3,56948,WIPRO22JUNFUT,0,1,20220614002248,800,0,0,0,45350.00,0.00,7AXU39147-NRML,2,20220614095311:000,20220614095311:000,22,220614095311463,FS,WIPRO,2022-06-30 00:00:00,-1.00,XX,100,1,9111,9211,2,AllStrategies,/2475,20,3,56733,BANKNIFTY22JUNFUT,0,2,20220614002475,25,0,0,0,3338500.00,0.00,7AXU099-MIS,2,20220614102131:000,20220614102131:000,22,220614102131991,FI,BANKNIFTY,2022-06-30 00:00:00,-1.00,XX,100,1,9111,9211,2,AllStrategies,/2477,20,3,56733,BANKNIFTY22JUNFUT,0,1,20220614002477,25,0,0,0,3342500.00,0.00,7AXU099-MIS,2,20220614102554:000,20220614102554:000,22,220614102554911,FI,BANKNIFTY,2022-06-30 00:00:00,-1.00,XX,100,1,9111,9211,2,AllStrategies,/
44,11:08:37.3974427,Terminal,Debug,OrderBook sequencial requested.,
45,11:09:27.8612168,Confirmation Panel,SmartMarketWatch,INFO : ClientS.csv Imported. For SID:2 ScriptName:HDFCBANK22JUNFUT SID:2,{\colortbl;\red0\green0\blue190;}\cf1\b ClientS.csv Imported. For SID:2 ScriptName:HDFCBANK22JUNFUT \b0 SID:2
46,11:09:58.0125651,ORMS,Debug,Order sent.,QID:1
47,11:09:58.0907495,ORMS,Debug,Order Mapping received.,QID:1 | OID:1
48,11:09:58.1063040,ORMS,Debug,Order sent.,QID:2
49,11:09:58.4501302,ORMS,Debug,Order Mapping received.,QID:2 | OID:2
