MasterTrader  Version 0.3.7.6
No,Time,Type,Data,Message
104,11:10:02.4653188,Confirmation Panel,Terminal,NSEFO : NSEFO Order CONFIRMED for BUY HDFCBANK22JUNFUT 550 @ Rs.1328 for Client: 7AXJ41087-NRML [Ord.No.2400000024395448] [Remarks:AllStrategies] [OID:14 ],{\colortbl;\red0\green166\blue0;}\cf1NSEFO Order \b CONFIRMED \b0 for BUY HDFCBANK22JUNFUT 550 @ Rs.1328 for Client: \b 7AXJ41087-NRML \b0 [Ord.No.2400000024395448] [Remarks:AllStrategies] [OID:14 ]
105,11:10:02.4653188,Confirmation Panel,Terminal,NSEFO : NSEFO Order REJECTED for BUY HDFCBANK22JUNFUT 550 @ Rs.1328 for Client: 7AXJ38999-NRML [Ord.No.0] [Remarks:AllStrategies] ErrorCode : 0 [OID:17 ],{\colortbl;\red0\green166\blue0;}\cf1NSEFO Order \b {\colortbl;\red125\green0\blue0;}\cf3 REJECTED {\colortbl;\red0\green166\blue0;}\cf1 \b0 for BUY HDFCBANK22JUNFUT 550 @ Rs.1328 for Client: \b 7AXJ38999-NRML \b0 [Ord.No.0] [Remarks:AllStrategies] ErrorCode : 0 [OID:17 ]
106,11:10:02.4653188,Confirmation Panel,Terminal,NSEFO : NSEFO ORDER TRADED : BOUGHT HDFCBANK22JUNFUT 550 out of 550 @ Rs.1328 for Account: 7AXU099-NRML [Trd.No.969172507] [Against Ord.No.2400000024388590] [OID:1 ],{\colortbl;\red0\green117\blue0;}\cf1 NSEFO ORDER \b TRADED : BOUGHT \b0 HDFCBANK22JUNFUT 550 out of 550 @ Rs.1328 for Account: \b 7AXU099-NRML \b0 [Trd.No.969172507] [Against Ord.No.2400000024388590] [OID:1 ]
107,11:10:02.7464476,Confirmation Panel,Terminal,NSEFO : NSEFO ORDER TRADED : BOUGHT HDFCBANK22JUNFUT 550 out of 550 @ Rs.1328 for Account: 7AXU39122-NRML [Trd.No.969172561] [Against Ord.No.2400000024388721] [OID:2 ],{\colortbl;\red0\green117\blue0;}\cf1 NSEFO ORDER \b TRADED : BOUGHT \b0 HDFCBANK22JUNFUT 550 out of 550 @ Rs.1328 for Account: \b 7AXU39122-NRML \b0 [Trd.No.969172561] [Against Ord.No.2400000024388721] [OID:2 ]
108,11:10:12.1072661,Confirmation Panel,Terminal,NSEFO : NSEFO ORDER TRADED : BOUGHT HDFCBANK22JUNFUT 550 out of 550 @ Rs.1328 for Account: 7AXU38835-NRML [Trd.No.969172705] [Against Ord.No.2400000024390007] [OID:3 ],{\colortbl;\red0\green117\blue0;}\cf1 NSEFO ORDER \b TRADED : BOUGHT \b0 HDFCBANK22JUNFUT 550 out of 550 @ Rs.1328 for Account: \b 7AXU38835-NRML \b0 [Trd.No.969172705] [Against Ord.No.2400000024390007] [OID:3 ]
109,11:10:17.1691579,Confirmation Panel,Terminal,NSEFO : NSEFO ORDER TRADED : BOUGHT HDFCBANK22JUNFUT 550 out of 550 @ Rs.1328 for Account: 7AXU39583-NRML [Trd.No.969172808] [Against Ord.No.2400000024390448] [OID:4 ],{\colortbl;\red0\green117\blue0;}\cf1 NSEFO ORDER \b TRADED : BOUGHT \b0 HDFCBANK22JUNFUT 550 out of 550 @ Rs.1328 for Account: \b 7AXU39583-NRML \b0 [Trd.No.969172808] [Against Ord.No.2400000024390448] [OID:4 ]
110,11:10:18.8252479,Confirmation Panel,Terminal,NSEFO : NSEFO ORDER TRADED : BOUGHT HDFCBANK22JUNFUT 550 out of 550 @ Rs.1328 for Account: 7AXU39229-NRML [Trd.No.969172859] [Against Ord.No.2400000024391088] [OID:6 ],{\colortbl;\red0\green117\blue0;}\cf1 NSEFO ORDER \b TRADED : BOUGHT \b0 HDFCBANK22JUNFUT 550 out of 550 @ Rs.1328 for Account: \b 7AXU39229-NRML \b0 [Trd.No.969172859] [Against Ord.No.2400000024391088] [OID:6 ]
111,11:13:41.7111086,Confirmation Panel,Terminal,NSEFO : NSEFO Order CANCELLED for BUY HDFCBANK22JUNFUT 550 @ Rs.1328 for Client: 7AXJ41087-NRML [Ord.No.2400000024395448] [Remarks:AllStrategies] [OID:14 ],{\colortbl;\red0\green166\blue0;}\cf1NSEFO Order \b CANCELLED \b0 for BUY HDFCBANK22JUNFUT 550 @ Rs.1328 for Client: \b 7AXJ41087-NRML \b0 [Ord.No.2400000024395448] [Remarks:AllStrategies] [OID:14 ]
112,11:13:50.6211575,Confirmation Panel,Terminal,NSEFO : NSEFO Order CANCELLED for BUY HDFCBANK22JUNFUT 550 @ Rs.1328 for Client: 7AXU39234-NRML [Ord.No.2400000024395209] [Remarks:AllStrategies] [OID:12 ],{\colortbl;\red0\green166\blue0;}\cf1NSEFO Order \b CANCELLED \b0 for BUY HDFCBANK22JUNFUT 550 @ Rs.1328 for Client: \b 7AXU39234-NRML \b0 [Ord.No.2400000024395209] [Remarks:AllStrategies] [OID:12 ]
113,11:13:54.3081879,Confirmation Panel,Terminal,NSEFO : NSEFO Order CANCELLED for BUY HDFCBANK22JUNFUT 550 @ Rs.1328 for Client: 7AXU39147-NRML [Ord.No.2400000024394923] [Remarks:AllStrategies] [OID:10 ],{\colortbl;\red0\green166\blue0;}\cf1NSEFO Order \b CANCELLED \b0 for BUY HDFCBANK22JUNFUT 550 @ Rs.1328 for Client: \b 7AXU39147-NRML \b0 [Ord.No.2400000024394923] [Remarks:AllStrategies] [OID:10 ]
114,11:14:02.2309190,Confirmation Panel,Terminal,NSEFO : NSEFO Order CANCELLED for BUY HDFCBANK22JUNFUT 550 @ Rs.1328 for Client: 7AXU39131-NRML [Ord.No.2400000024391241] [Remarks:AllStrategies] [OID:7 ],{\colortbl;\red0\green166\blue0;}\cf1NSEFO Order \b CANCELLED \b0 for BUY HDFCBANK22JUNFUT 550 @ Rs.1328 for Client: \b 7AXU39131-NRML \b0 [Ord.No.2400000024391241] [Remarks:AllStrategies] [OID:7 ]
115,11:14:06.2633664,Confirmation Panel,Terminal,NSEFO : NSEFO Order CANCELLED for BUY HDFCBANK22JUNFUT 550 @ Rs.1328 for Client: 7AXU42536-NRML [Ord.No.2400000024395351] [Remarks:AllStrategies] [OID:13 ],{\colortbl;\red0\green166\blue0;}\cf1NSEFO Order \b CANCELLED \b0 for BUY HDFCBANK22JUNFUT 550 @ Rs.1328 for Client: \b 7AXU42536-NRML \b0 [Ord.No.2400000024395351] [Remarks:AllStrategies] [OID:13 ]
116,11:14:10.5284250,Confirmation Panel,Terminal,NSEFO : NSEFO Order CANCELLED for BUY HDFCBANK22JUNFUT 550 @ Rs.1328 for Client: 7AXU39507-NRML [Ord.No.2400000024395088] [Remarks:AllStrategies] [OID:11 ],{\colortbl;\red0\green166\blue0;}\cf1NSEFO Order \b CANCELLED \b0 for BUY HDFCBANK22JUNFUT 550 @ Rs.1328 for Client: \b 7AXU39507-NRML \b0 [Ord.No.2400000024395088] [Remarks:AllStrategies] [OID:11 ]
117,11:14:14.2155323,Confirmation Panel,Terminal,NSEFO : NSEFO Order CANCELLED for BUY HDFCBANK22JUNFUT 550 @ Rs.1328 for Client: 7AXU41080-NRML [Ord.No.2400000024391645] [Remarks:AllStrategies] [OID:9 ],{\colortbl;\red0\green166\blue0;}\cf1NSEFO Order \b CANCELLED \b0 for BUY HDFCBANK22JUNFUT 550 @ Rs.1328 for Client: \b 7AXU41080-NRML \b0 [Ord.No.2400000024391645] [Remarks:AllStrategies] [OID:9 ]
118,11:21:08.0304181,Confirmation Panel,SmartMarketWatch,ERROR : Strategy is not running! SID:25,{\colortbl;\red180\green0\blue0;}\cf1\b Strategy is not running! \b0 SID:25
119,11:21:16.1544801,Confirmation Panel,SmartMarketWatch,STAUS : Strategy deleted successfully. SID:25,{\colortbl;\red0\green190\blue0;}\cf1\b Strategy deleted successfully. \b0 SID:25
120,11:21:27.7173414,Confirmation Panel,SmartMarketWatch,STAUS : Strategy deleted successfully. SID:20,{\colortbl;\red0\green190\blue0;}\cf1\b Strategy deleted successfully. \b0 SID:20
121,11:21:31.5139099,Confirmation Panel,SmartMarketWatch,STAUS : Strategy deleted successfully. SID:36,{\colortbl;\red0\green190\blue0;}\cf1\b Strategy deleted successfully. \b0 SID:36
122,11:21:34.3885345,Confirmation Panel,SmartMarketWatch,STAUS : Strategy deleted successfully. SID:33,{\colortbl;\red0\green190\blue0;}\cf1\b Strategy deleted successfully. \b0 SID:33
123,11:21:38.1711240,Confirmation Panel,SmartMarketWatch,STAUS : Strategy deleted successfully. SID:41,{\colortbl;\red0\green190\blue0;}\cf1\b Strategy deleted successfully. \b0 SID:41
124,11:21:40.8269836,Confirmation Panel,SmartMarketWatch,STAUS : Strategy deleted successfully. SID:18,{\colortbl;\red0\green190\blue0;}\cf1\b Strategy deleted successfully. \b0 SID:18
125,11:21:44.3891050,Confirmation Panel,SmartMarketWatch,STAUS : Strategy deleted successfully. SID:35,{\colortbl;\red0\green190\blue0;}\cf1\b Strategy deleted successfully. \b0 SID:35
126,11:21:47.4981487,Confirmation Panel,SmartMarketWatch,STAUS : Strategy deleted successfully. SID:27,{\colortbl;\red0\green190\blue0;}\cf1\b Strategy deleted successfully. \b0 SID:27
127,11:21:58.1118338,Confirmation Panel,SmartMarketWatch,STAUS : Strategy deleted successfully. SID:16,{\colortbl;\red0\green190\blue0;}\cf1\b Strategy deleted successfully. \b0 SID:16
128,11:22:02.7675752,Confirmation Panel,SmartMarketWatch,STAUS : Strategy deleted successfully. SID:29,{\colortbl;\red0\green190\blue0;}\cf1\b Strategy deleted successfully. \b0 SID:29
129,11:22:05.3000877,Confirmation Panel,SmartMarketWatch,STAUS : Strategy deleted successfully. SID:11,{\colortbl;\red0\green190\blue0;}\cf1\b Strategy deleted successfully. \b0 SID:11
130,11:22:07.9874907,Confirmation Panel,SmartMarketWatch,STAUS : Strategy deleted successfully. SID:15,{\colortbl;\red0\green190\blue0;}\cf1\b Strategy deleted successfully. \b0 SID:15
131,11:22:14.2368320,Confirmation Panel,SmartMarketWatch,STAUS : Strategy deleted successfully. SID:7,{\colortbl;\red0\green190\blue0;}\cf1\b Strategy deleted successfully. \b0 SID:7
132,11:22:16.6740827,Confirmation Panel,SmartMarketWatch,STAUS : Strategy deleted successfully. SID:23,{\colortbl;\red0\green190\blue0;}\cf1\b Strategy deleted successfully. \b0 SID:23
133,11:22:20.8937871,Confirmation Panel,SmartMarketWatch,STAUS : Strategy deleted successfully. SID:30,{\colortbl;\red0\green190\blue0;}\cf1\b Strategy deleted successfully. \b0 SID:30
134,11:22:23.5030014,Confirmation Panel,SmartMarketWatch,STAUS : Strategy deleted successfully. SID:3,{\colortbl;\red0\green190\blue0;}\cf1\b Strategy deleted successfully. \b0 SID:3
135,11:22:25.4871466,Confirmation Panel,SmartMarketWatch,STAUS : Strategy deleted successfully. SID:22,{\colortbl;\red0\green190\blue0;}\cf1\b Strategy deleted successfully. \b0 SID:22
136,11:22:27.3462727,Confirmation Panel,SmartMarketWatch,STAUS : Strategy deleted successfully. SID:26,{\colortbl;\red0\green190\blue0;}\cf1\b Strategy deleted successfully. \b0 SID:26
137,11:22:29.4009243,Confirmation Panel,SmartMarketWatch,STAUS : Strategy deleted successfully. SID:24,{\colortbl;\red0\green190\blue0;}\cf1\b Strategy deleted successfully. \b0 SID:24
138,11:22:31.5463451,Confirmation Panel,SmartMarketWatch,STAUS : Strategy deleted successfully. SID:8,{\colortbl;\red0\green190\blue0;}\cf1\b Strategy deleted successfully. \b0 SID:8
139,11:22:33.6125958,Confirmation Panel,SmartMarketWatch,STAUS : Strategy deleted successfully. SID:21,{\colortbl;\red0\green190\blue0;}\cf1\b Strategy deleted successfully. \b0 SID:21
140,11:22:35.4902909,Confirmation Panel,SmartMarketWatch,STAUS : Strategy deleted successfully. SID:32,{\colortbl;\red0\green190\blue0;}\cf1\b Strategy deleted successfully. \b0 SID:32
141,11:22:37.4588545,Confirmation Panel,SmartMarketWatch,STAUS : Strategy deleted successfully. SID:37,{\colortbl;\red0\green190\blue0;}\cf1\b Strategy deleted successfully. \b0 SID:37
142,11:22:39.6461507,Confirmation Panel,SmartMarketWatch,STAUS : Strategy deleted successfully. SID:34,{\colortbl;\red0\green190\blue0;}\cf1\b Strategy deleted successfully. \b0 SID:34
143,11:22:41.3647344,Confirmation Panel,SmartMarketWatch,STAUS : Strategy deleted successfully. SID:40,{\colortbl;\red0\green190\blue0;}\cf1\b Strategy deleted successfully. \b0 SID:40
144,11:22:43.3957323,Confirmation Panel,SmartMarketWatch,STAUS : Strategy deleted successfully. SID:4,{\colortbl;\red0\green190\blue0;}\cf1\b Strategy deleted successfully. \b0 SID:4
145,11:22:53.1150203,Confirmation Panel,SmartMarketWatch,STAUS : Strategy deleted successfully. SID:12,{\colortbl;\red0\green190\blue0;}\cf1\b Strategy deleted successfully. \b0 SID:12
146,11:22:57.8822921,Confirmation Panel,SmartMarketWatch,STAUS : Strategy deleted successfully. SID:13,{\colortbl;\red0\green190\blue0;}\cf1\b Strategy deleted successfully. \b0 SID:13
147,11:22:59.8195986,Confirmation Panel,SmartMarketWatch,STAUS : Strategy deleted successfully. SID:5,{\colortbl;\red0\green190\blue0;}\cf1\b Strategy deleted successfully. \b0 SID:5
148,11:23:01.8193705,Confirmation Panel,SmartMarketWatch,STAUS : Strategy deleted successfully. SID:38,{\colortbl;\red0\green190\blue0;}\cf1\b Strategy deleted successfully. \b0 SID:38
149,11:23:04.8195148,Confirmation Panel,SmartMarketWatch,STAUS : Strategy deleted successfully. SID:39,{\colortbl;\red0\green190\blue0;}\cf1\b Strategy deleted successfully. \b0 SID:39
150,11:23:09.8577685,Confirmation Panel,SmartMarketWatch,STAUS : Strategy deleted successfully. SID:6,{\colortbl;\red0\green190\blue0;}\cf1\b Strategy deleted successfully. \b0 SID:6
151,11:23:15.6853331,Confirmation Panel,SmartMarketWatch,STAUS : Strategy deleted successfully. SID:28,{\colortbl;\red0\green190\blue0;}\cf1\b Strategy deleted successfully. \b0 SID:28
152,11:23:18.4505270,Confirmation Panel,SmartMarketWatch,STAUS : Strategy deleted successfully. SID:10,{\colortbl;\red0\green190\blue0;}\cf1\b Strategy deleted successfully. \b0 SID:10
153,11:23:20.1067308,Confirmation Panel,SmartMarketWatch,STAUS : Strategy deleted successfully. SID:31,{\colortbl;\red0\green190\blue0;}\cf1\b Strategy deleted successfully. \b0 SID:31
154,11:23:22.1548167,Confirmation Panel,SmartMarketWatch,STAUS : Strategy deleted successfully. SID:9,{\colortbl;\red0\green190\blue0;}\cf1\b Strategy deleted successfully. \b0 SID:9
155,11:23:23.7952647,Confirmation Panel,SmartMarketWatch,STAUS : Strategy deleted successfully. SID:17,{\colortbl;\red0\green190\blue0;}\cf1\b Strategy deleted successfully. \b0 SID:17
156,11:23:25.6388081,Confirmation Panel,SmartMarketWatch,STAUS : Strategy deleted successfully. SID:19,{\colortbl;\red0\green190\blue0;}\cf1\b Strategy deleted successfully. \b0 SID:19
157,11:23:28.0603881,Confirmation Panel,SmartMarketWatch,STAUS : Strategy deleted successfully. SID:14,{\colortbl;\red0\green190\blue0;}\cf1\b Strategy deleted successfully. \b0 SID:14
158,11:41:32.9893565,Mainframe,ERROR,Disconnecting as Keep alive missed,LKA elapsed 25 secs.
159,11:41:32.9913237,Confirmation Panel,QuantX,ERROR : Disconnected from ORMS. ,{\colortbl;\red220\green0\blue0;}\cf1\b Disconnected from ORMS. \b0
160,11:41:32.9953386,Mainframe,ERROR,Disconnected from ORMS.,
161,11:41:32.9963240,ORMS,ERROR,ORMS Disconnecting...,System.Net.Sockets.SocketException (0x80004005): A blocking operation was interrupted by a call to WSACancelBlockingCall |    at ..() in S:\QuantX\TWS\Source\ORMS.vb:line 155
162,11:41:32.9974478,Mainframe,ERROR,Disconnected from ORMS.,
163,11:41:34.0599720,ORMS,STATUS,Connecting to ORMS2...,202.58.232.252:6660
164,11:41:34.1669588,ORMS,STATUS,Connected to ORMS2,202.58.232.252:6660
165,11:41:34.1669588,Confirmation Panel,QuantX,STATUS : Connected to ORMS successfully. ,{\colortbl;\red0\green153\blue0;}\cf1\b Connected to ORMS successfully. \b0
166,11:41:34.2046567,ORMS,STATUS,Sending credentials to ORMS2,H7AXU01 | 202.58.232.252:6660
167,11:41:35.8149480,Terminal,Debug,OrderBook received.,2239,20,3,56948,WIPRO22JUNFUT,0,1,20220614002239,800,0,0,0,45350.00,0.00,7AXU099-NRML,2,20220614095310:000,20220614095310:000,22,220614095309994,FS,WIPRO,2022-06-30 00:00:00,-1.00,XX,100,1,9111,9211,2,AllStrategies,/2247,20,3,56948,WIPRO22JUNFUT,0,1,20220614002247,800,0,0,0,45350.00,0.00,7AXU41080-NRML,2,20220614095310:000,20220614095310:000,22,220614095310400,FS,WIPRO,2022-06-30 00:00:00,-1.00,XX,100,1,9111,9211,2,AllStrategies,/2246,20,3,56948,WIPRO22JUNFUT,0,1,20220614002246,800,0,0,0,45350.00,0.00,7AXU39390-NRML,2,20220614095310:000,20220614095310:000,22,220614095310353,FS,WIPRO,2022-06-30 00:00:00,-1.00,XX,100,1,9111,9211,2,AllStrategies,/2245,20,3,56948,WIPRO22JUNFUT,0,1,20220614002245,800,0,0,0,45350.00,0.00,7AXU39131-NRML,2,20220614095310:000,20220614095310:000,22,220614095310306,FS,WIPRO,2022-06-30 00:00:00,-1.00,XX,100,1,9111,9211,2,AllStrategies,/2244,20,3,56948,WIPRO22JUNFUT,0,1,20220614002244,800,0,0,0,45350.00,0.00,7AXU39229-NRML,2,20220614095310:000,20220614095310:000,22,220614095310259,FS,WIPRO,2022-06-30 00:00:00,-1.00,XX,100,1,9111,9211,2,AllStrategies,/2243,20,3,56948,WIPRO22JUNFUT,0,1,20220614002243,800,0,0,0,45350.00,0.00,7AXU39117-NRML,2,20220614095310:000,20220614095310:000,22,220614095310213,FS,WIPRO,2022-06-30 00:00:00,-1.00,XX,100,1,9111,9211,2,AllStrategies,/2242,20,3,56948,WIPRO22JUNFUT,0,1,20220614002242,800,0,0,0,45350.00,0.00,7AXU39583-NRML,2,20220614095310:000,20220614095310:000,22,220614095310150,FS,WIPRO,2022-06-30 00:00:00,-1.00,XX,100,1,9111,9211,2,AllStrategies,/2241,20,3,56948,WIPRO22JUNFUT,0,1,20220614002241,800,0,0,0,45350.00,0.00,7AXU38835-NRML,2,20220614095310:000,20220614095310:000,22,220614095310088,FS,WIPRO,2022-06-30 00:00:00,-1.00,XX,100,1,9111,9211,2,AllStrategies,/2240,20,3,56948,WIPRO22JUNFUT,0,1,20220614002240,800,0,0,0,45350.00,0.00,7AXU39122-NRML,2,20220614095310:000,20220614095310:000,22,220614095310041,FS,WIPRO,2022-06-30 00:00:00,-1.00,XX,100,1,9111,9211,2,AllStrategies,/2255,20,3,56948,WIPRO22JUNFUT,0,1,20220614002255,800,0,0,0,45350.00,0.00,7AXJ38999-NRML,2,20220614095311:000,20220614095311:000,22,220614095311822,FS,WIPRO,2022-06-30 00:00:00,-1.00,XX,100,1,9111,9211,2,AllStrategies,/2254,20,3,56948,WIPRO22JUNFUT,0,1,20220614002254,800,0,0,0,45350.00,0.00,7AXJ40622-NRML,2,20220614095311:000,20220614095311:000,22,220614095311775,FS,WIPRO,2022-06-30 00:00:00,-1.00,XX,100,1,9111,9211,2,AllStrategies,/2253,20,3,56948,WIPRO22JUNFUT,0,1,20220614002253,800,0,0,0,45350.00,0.00,7AXUJ41644-NRML,2,20220614095311:000,20220614095311:000,22,220614095311728,FS,WIPRO,2022-06-30 00:00:00,-1.00,XX,100,1,9111,9211,2,AllStrategies,/2252,20,3,56948,WIPRO22JUNFUT,0,1,20220614002252,800,0,0,0,45350.00,0.00,7AXJ41087-NRML,2,20220614095311:000,20220614095311:000,22,220614095311681,FS,WIPRO,2022-06-30 00:00:00,-1.00,XX,100,1,9111,9211,2,AllStrategies,/2251,20,3,56948,WIPRO22JUNFUT,0,1,20220614002251,800,0,0,0,45350.00,0.00,7AXU42536-NRML,2,20220614095311:000,20220614095311:000,22,220614095311635,FS,WIPRO,2022-06-30 00:00:00,-1.00,XX,100,1,9111,9211,2,AllStrategies,/2250,20,3,56948,WIPRO22JUNFUT,0,1,20220614002250,800,0,0,0,45350.00,0.00,7AXU39234-NRML,2,20220614095311:000,20220614095311:000,22,220614095311572,FS,WIPRO,2022-06-30 00:00:00,-1.00,XX,100,1,9111,9211,2,AllStrategies,/2249,20,3,56948,WIPRO22JUNFUT,0,1,20220614002249,800,0,0,0,45350.00,0.00,7AXU39507-NRML,2,20220614095311:000,20220614095311:000,22,220614095311510,FS,WIPRO,2022-06-30 00:00:00,-1.00,XX,100,1,9111,9211,2,AllStrategies,/2248,20,3,56948,WIPRO22JUNFUT,0,1,20220614002248,800,0,0,0,45350.00,0.00,7AXU39147-NRML,2,20220614095311:000,20220614095311:000,22,220614095311463,FS,WIPRO,2022-06-30 00:00:00,-1.00,XX,100,1,9111,9211,2,AllStrategies,/2475,20,3,56733,BANKNIFTY22JUNFUT,0,2,20220614002475,25,0,0,0,3338500.00,0.00,7AXU099-MIS,2,20220614102131:000,20220614102131:000,22,220614102131991,FI,BANKNIFTY,2022-06-30 00:00:00,-1.00,XX,100,1,9111,9211,2,AllStrategies,/2477,20,3,56733,BANKNIFTY22JUNFUT,0,1,20220614002477,25,0,0,0,3342500.00,0.00,7AXU099-MIS,2,20220614102554:000,20220614102554:000,22,220614102554911,FI,BANKNIFTY,2022-06-30 00:00:00,-1.00,XX,100,1,9111,9211,2,AllStrategies,/4,20,3,56815,HDFCBANK22JUNFUT,0,1,2400000024390448,550,0,0,0,132800.00,0.00,7AXU39583-NRML,1,20220614111028:000,20220614110958:000,14049,220614111028994,FS,HDFCBANK,2022-06-30 00:00:00,-1.00,XX,100,1,0,0,27,AllStrategies,/3,20,3,56815,HDFCBANK22JUNFUT,0,1,2400000024390007,550,0,0,0,132800.00,0.00,7AXU38835-NRML,1,20220614111028:000,20220614110958:000,14049,220614111028931,FS,HDFCBANK,2022-06-30 00:00:00,-1.00,XX,100,1,0,0,27,AllStrategies,/2,20,3,56815,HDFCBANK22JUNFUT,0,1,2400000024388721,550,0,0,0,132800.00,0.00,7AXU39122-NRML,1,20220614111028:000,20220614110957:000,14049,220614111028572,FS,HDFCBANK,2022-06-30 00:00:00,-1.00,XX,100,1,0,0,27,AllStrategies,/1,20,3,56815,HDFCBANK22JUNFUT,0,1,2400000024388590,550,0,0,0,132800.00,0.00,7AXU099-NRML,1,20220614111028:000,20220614110957:000,14049,220614111028509,FS,HDFCBANK,2022-06-30 00:00:00,-1.00,XX,100,1,0,0,27,AllStrategies,/9,20,3,56815,HDFCBANK22JUNFUT,0,1,2400000024391645,550,0,0,575,132800.00,0.00,7AXU41080-NRML,1,20220614111029:000,20220614110958:000,14049,220614111029306,FS,HDFCBANK,2022-06-30 00:00:00,-1.00,XX,100,1,0,0,27,AllStrategies,/8,20,3,56815,HDFCBANK22JUNFUT,0,1,0,550,0,0,1175,132800.00,0.00,7AXU39390-NRML,1,20220614111029:000,20220614111029:000,14049,220614111029244,FS,HDFCBANK,2022-06-30 00:00:00,-1.00,XX,100,1,0,0,27,AllStrategies,/7,20,3,56815,HDFCBANK22JUNFUT,0,1,2400000024391241,550,0,0,700,132800.00,0.00,7AXU39131-NRML,1,20220614111029:000,20220614110958:000,14049,220614111029181,FS,HDFCBANK,2022-06-30 00:00:00,-1.00,XX,100,1,0,0,27,AllStrategies,/6,20,3,56815,HDFCBANK22JUNFUT,0,1,2400000024391088,550,0,0,0,132800.00,0.00,7AXU39229-NRML,1,20220614111029:000,20220614110958:000,14049,220614111029119,FS,HDFCBANK,2022-06-30 00:00:00,-1.00,XX,100,1,0,0,27,AllStrategies,/10,20,3,56815,HDFCBANK22JUNFUT,0,1,2400000024394923,550,0,0,800,132800.00,0.00,7AXU39147-NRML,1,20220614111030:000,20220614110959:000,14049,220614111030384,FS,HDFCBANK,2022-06-30 00:00:00,-1.00,XX,100,1,0,0,27,AllStrategies,/11,20,3,56815,HDFCBANK22JUNFUT,0,1,2400000024395088,550,0,0,850,132800.00,0.00,7AXU39507-NRML,1,20220614111030:000,20220614110959:000,14049,220614111030447,FS,HDFCBANK,2022-06-30 00:00:00,-1.00,XX,100,1,0,0,27,AllStrategies,/12,20,3,56815,HDFCBANK22JUNFUT,0,1,2400000024395209,550,0,0,375,132800.00,0.00,7AXU39234-NRML,1,20220614111030:000,20220614110959:000,14049,220614111030525,FS,HDFCBANK,2022-06-30 00:00:00,-1.00,XX,100,1,0,0,27,AllStrategies,/13,20,3,56815,HDFCBANK22JUNFUT,0,1,2400000024395351,550,0,0,0,132800.00,0.00,7AXU42536-NRML,1,20220614111030:000,20220614110959:000,14049,220614111030588,FS,HDFCBANK,2022-06-30 00:00:00,-1.00,XX,100,1,0,0,27,AllStrategies,/
168,11:41:35.8252138,Terminal,Debug,OrderBook sequencial requested.,
169,11:59:48.6547580,Confirmation Panel,SmartMarketWatch,INFO : ClientS.csv Imported. For SID:3 ScriptName:IRCTC22JUNFUT SID:3,{\colortbl;\red0\green0\blue190;}\cf1\b ClientS.csv Imported. For SID:3 ScriptName:IRCTC22JUNFUT \b0 SID:3
170,12:00:21.4525920,ORMS,Debug,Order sent.,QID:18
171,12:00:21.4995831,ORMS,Debug,Order Mapping received.,QID:18 | OID:18
172,12:00:21.5151924,ORMS,Debug,Order sent.,QID:19
173,12:00:21.5619985,ORMS,Debug,Order Mapping received.,QID:19 | OID:19
174,12:00:21.5776604,ORMS,Debug,Order sent.,QID:20
175,12:00:21.9214086,ORMS,Debug,Order Mapping received.,QID:20 | OID:20
176,12:00:21.9370361,ORMS,Debug,Order sent.,QID:21
177,12:00:21.9682781,ORMS,Debug,Order Mapping received.,QID:21 | OID:21
178,12:00:21.9838480,ORMS,Debug,Order sent.,QID:22
179,12:00:21.9995271,Confirmation Panel,Algo,ERROR : RMS:Margin Exceeds,Required:302487.79, Available:145782.00 for entity account-7AXU39583 across exchange across segment across product  ,{\colortbl;\red0\green0\blue255;}\cf1\b RMS:Margin Exceeds,Required:302487.79, Available:145782.00 for entity account-7AXU39583 across exchange across segment across product  \b0
180,12:00:21.9995271,Algo,DEBUG,RMS:Margin Exceeds,Required:302487.79, Available:145782.00 for entity account-7AXU39583 across exchange across segment across product ,
181,12:00:22.0151353,ORMS,Debug,Order Mapping received.,QID:22 | OID:22
182,12:00:22.0306574,ORMS,Debug,Order sent.,QID:23
183,12:00:22.0306574,Confirmation Panel,Algo,ERROR : exchg not enabled for this acct ,{\colortbl;\red0\green0\blue255;}\cf1\b exchg not enabled for this acct \b0
184,12:00:22.0306574,Algo,DEBUG,exchg not enabled for this acct,
185,12:00:22.0620315,ORMS,Debug,Order Mapping received.,QID:23 | OID:23
186,12:00:22.0776249,ORMS,Debug,Order sent.,QID:24
187,12:00:22.1245336,ORMS,Debug,Order Mapping received.,QID:24 | OID:24
188,12:00:22.1401251,ORMS,Debug,Order sent.,QID:25
189,12:00:22.1712660,ORMS,Debug,Order Mapping received.,QID:25 | OID:25
190,12:00:22.1869897,ORMS,Debug,Order sent.,QID:26
191,12:00:22.2026408,Confirmation Panel,Algo,ERROR : RMS:Margin Exceeds,Required:195848.13, Available:123811.00 for entity account-7AXU39390 across exchange across segment across product  ,{\colortbl;\red0\green0\blue255;}\cf1\b RMS:Margin Exceeds,Required:195848.13, Available:123811.00 for entity account-7AXU39390 across exchange across segment across product  \b0
192,12:00:22.2026408,Algo,DEBUG,RMS:Margin Exceeds,Required:195848.13, Available:123811.00 for entity account-7AXU39390 across exchange across segment across product ,
193,12:00:22.2182641,ORMS,Debug,Order Mapping received.,QID:26 | OID:26
194,12:00:23.2493892,ORMS,Debug,Order sent.,QID:27
195,12:00:23.2962557,ORMS,Debug,Order Mapping received.,QID:27 | OID:27
